"Label (Grouping)","Ashland city, Oregon!!Estimate","Ashland city, Oregon!!Margin of Error","Ashland city, Oregon!!Percent","Ashland city, Oregon!!Percent Margin of Error","Baker City city, Oregon!!Estimate","Baker City city, Oregon!!Margin of Error","Baker City city, Oregon!!Percent","Baker City city, Oregon!!Percent Margin of Error","Cottage Grove city, Oregon!!Estimate","Cottage Grove city, Oregon!!Margin of Error","Cottage Grove city, Oregon!!Percent","Cottage Grove city, Oregon!!Percent Margin of Error","Eagle Point city, Oregon!!Estimate","Eagle Point city, Oregon!!Margin of Error","Eagle Point city, Oregon!!Percent","Eagle Point city, Oregon!!Percent Margin of Error","Forest Grove city, Oregon!!Estimate","Forest Grove city, Oregon!!Margin of Error","Forest Grove city, Oregon!!Percent","Forest Grove city, Oregon!!Percent Margin of Error","Klamath Falls city, Oregon!!Estimate","Klamath Falls city, Oregon!!Margin of Error","Klamath Falls city, Oregon!!Percent","Klamath Falls city, Oregon!!Percent Margin of Error","Newberg city, Oregon!!Estimate","Newberg city, Oregon!!Margin of Error","Newberg city, Oregon!!Percent","Newberg city, Oregon!!Percent Margin of Error","Newport city, Oregon!!Estimate","Newport city, Oregon!!Margin of Error","Newport city, Oregon!!Percent","Newport city, Oregon!!Percent Margin of Error","North Bend city, Oregon!!Estimate","North Bend city, Oregon!!Margin of Error","North Bend city, Oregon!!Percent","North Bend city, Oregon!!Percent Margin of Error","Ontario city, Oregon!!Estimate","Ontario city, Oregon!!Margin of Error","Ontario city, Oregon!!Percent","Ontario city, Oregon!!Percent Margin of Error","Prineville city, Oregon!!Estimate","Prineville city, Oregon!!Margin of Error","Prineville city, Oregon!!Percent","Prineville city, Oregon!!Percent Margin of Error","Roseburg city, Oregon!!Estimate","Roseburg city, Oregon!!Margin of Error","Roseburg city, Oregon!!Percent","Roseburg city, Oregon!!Percent Margin of Error","Sandy city, Oregon!!Estimate","Sandy city, Oregon!!Margin of Error","Sandy city, Oregon!!Percent","Sandy city, Oregon!!Percent Margin of Error","Silverton city, Oregon!!Estimate","Silverton city, Oregon!!Margin of Error","Silverton city, Oregon!!Percent","Silverton city, Oregon!!Percent Margin of Error","Sweet Home city, Oregon!!Estimate","Sweet Home city, Oregon!!Margin of Error","Sweet Home city, Oregon!!Percent","Sweet Home city, Oregon!!Percent Margin of Error","Tualatin city, Oregon!!Estimate","Tualatin city, Oregon!!Margin of Error","Tualatin city, Oregon!!Percent","Tualatin city, Oregon!!Percent Margin of Error","West Linn city, Oregon!!Estimate","West Linn city, Oregon!!Margin of Error","West Linn city, Oregon!!Percent","West Linn city, Oregon!!Percent Margin of Error"
"        $500 to $999","983","±234","24.8%","±5.6","588","±152","49.2%","±10.4","608","±228","35.7%","±10.6","236","±175","22.5%","±15.6","712","±216","21.5%","±6.0","2,906","±339","59.4%","±5.1","472","±198","15.0%","±5.9","662","±117","35.5%","±6.0","711","±188","42.3%","±8.1","1,312","±243","66.7%","±9.0","809","±271","43.7%","±12.1","1,893","±304","43.8%","±6.2","234","±150","23.7%","±14.0","357","±132","23.0%","±7.9","625","±237","42.4%","±13.5","237","±107","5.0%","±2.2","141","±67","9.0%","±4.7"
"        $1,000 to $1,499","1,572","±288","39.6%","±5.8","284","±120","23.7%","±9.1","612","±171","36.0%","±8.8","451","±305","43.0%","±22.3","1,358","±313","41.1%","±7.2","900","±214","18.4%","±4.0","1,251","±259","39.8%","±6.9","719","±180","38.5%","±7.2","536","±139","31.9%","±7.6","206","±113","10.5%","±5.6","627","±213","33.8%","±10.7","1,332","±336","30.8%","±7.1","369","±140","37.4%","±11.4","662","±199","42.7%","±9.5","640","±232","43.4%","±12.7","2,128","±247","44.8%","±4.6","409","±153","26.0%","±9.0"
"        $1,500 to $1,999","817","±211","20.6%","±4.7","28","±26","2.3%","±2.1","116","±64","6.8%","±3.9","228","±142","21.7%","±12.9","586","±213","17.7%","±6.3","443","±178","9.1%","±3.7","897","±303","28.6%","±8.5","185","±87","9.9%","±4.7","133","±83","7.9%","±5.0","45","±36","2.3%","±1.8","162","±128","8.7%","±6.6","384","±243","8.9%","±5.5","196","±113","19.9%","±9.6","270","±116","17.4%","±6.6","52","±56","3.5%","±3.8","1,656","±312","34.9%","±5.4","447","±146","28.4%","±7.8"
"        $2,000 to $2,499","296","±128","7.5%","±3.2","21","±26","1.8%","±2.2","0","±20","0.0%","±2.2","39","±63","3.7%","±6.1","249","±112","7.5%","±3.4","124","±70","2.5%","±1.4","225","±115","7.2%","±3.8","37","±23","2.0%","±1.2","10","±17","0.6%","±1.0","0","±20","0.0%","±1.9","33","±42","1.8%","±2.2","44","±36","1.0%","±0.9","153","±94","15.5%","±9.0","44","±42","2.8%","±2.7","72","±60","4.9%","±4.3","507","±175","10.7%","±3.7","281","±113","17.9%","±6.3"
"        $2,500 to $2,999","0","±24","0.0%","±0.9","0","±18","0.0%","±3.1","0","±20","0.0%","±2.2","0","±18","0.0%","±3.5","2","±7","0.1%","±0.2","19","±32","0.4%","±0.6","210","±176","6.7%","±5.5","4","±6","0.2%","±0.3","11","±19","0.7%","±1.1","0","±20","0.0%","±1.9","0","±20","0.0%","±2.0","30","±34","0.7%","±0.8","0","±20","0.0%","±3.7","14","±22","0.9%","±1.4","0","±18","0.0%","±2.5","136","±61","2.9%","±1.3","169","±114","10.7%","±7.0"
"        $3,000 or more","18","±20","0.5%","±0.5","70","±69","5.9%","±5.8","31","±23","1.8%","±1.4","95","±147","9.1%","±14.0","81","±51","2.5%","±1.6","21","±32","0.4%","±0.7","31","±35","1.0%","±1.1","12","±14","0.6%","±0.8","0","±20","0.0%","±2.2","10","±17","0.5%","±0.9","21","±33","1.1%","±1.8","48","±45","1.1%","±1.0","0","±20","0.0%","±3.7","0","±20","0.0%","±2.4","0","±18","0.0%","±2.5","67","±44","1.4%","±0.9","127","±113","8.1%","±6.8"
"        Median (dollars)","1,175","±54","(X)","(X)","713","±54","(X)","(X)","924","±123","(X)","(X)","1,325","±220","(X)","(X)","1,185","±67","(X)","(X)","823","±36","(X)","(X)","1,415","±102","(X)","(X)","1,014","±67","(X)","(X)","889","±67","(X)","(X)","693","±24","(X)","(X)","965","±83","(X)","(X)","924","±67","(X)","(X)","1,315","±167","(X)","(X)","1,202","±135","(X)","(X)","1,016","±127","(X)","(X)","1,498","±46","(X)","(X)","1,765","±168","(X)","(X)"
"        No rent paid","467","±263","(X)","(X)","42","±38","(X)","(X)","149","±113","(X)","(X)","128","±133","(X)","(X)","123","±92","(X)","(X)","47","±48","(X)","(X)","88","±74","(X)","(X)","4","±8","(X)","(X)","84","±58","(X)","(X)","35","±45","(X)","(X)","83","±77","(X)","(X)","218","±135","(X)","(X)","14","±23","(X)","(X)","20","±35","(X)","(X)","31","±49","(X)","(X)","135","±100","(X)","(X)","64","±62","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","3,962","±422","3,962","(X)","1,187","±161","1,187","(X)","1,702","±272","1,702","(X)","1,049","±374","1,049","(X)","3,282","±376","3,282","(X)","4,764","±419","4,764","(X)","3,080","±415","3,080","(X)","1,843","±226","1,843","(X)","1,568","±227","1,568","(X)","1,900","±241","1,900","(X)","1,853","±324","1,853","(X)","4,305","±428","4,305","(X)","987","±252","987","(X)","1,551","±286","1,551","(X)","1,462","±288","1,462","(X)","4,621","±370","4,621","(X)","1,569","±267","1,569","(X)"
"        Less than 15.0 percent","365","±148","9.2%","±3.7","228","±102","19.2%","±8.5","237","±143","13.9%","±7.7","0","±18","0.0%","±3.5","286","±111","8.7%","±3.2","582","±177","12.2%","±3.9","310","±168","10.1%","±5.1","304","±128","16.5%","±6.1","249","±122","15.9%","±7.3","487","±178","25.6%","±8.6","116","±89","6.3%","±4.9","550","±176","12.8%","±3.9","103","±63","10.4%","±6.4","157","±75","10.1%","±4.6","291","±140","19.9%","±8.1","498","±166","10.8%","±3.5","59","±51","3.8%","±3.2"
"        15.0 to 19.9 percent","363","±162","9.2%","±4.0","146","±86","12.3%","±7.0","305","±150","17.9%","±8.1","358","±317","34.1%","±24.4","459","±173","14.0%","±5.4","503","±171","10.6%","±3.5","377","±162","12.2%","±5.1","198","±63","10.7%","±3.5","194","±99","12.4%","±6.1","241","±153","12.7%","±7.9","263","±152","14.2%","±7.7","645","±210","15.0%","±4.6","99","±78","10.0%","±7.6","126","±83","8.1%","±4.8","52","±63","3.6%","±4.4","605","±156","13.1%","±3.3","101","±57","6.4%","±3.9"
"        20.0 to 24.9 percent","617","±176","15.6%","±4.0","67","±41","5.6%","±3.3","162","±94","9.5%","±5.6","69","±85","6.6%","±8.1","419","±176","12.8%","±5.4","494","±177","10.4%","±3.7","230","±111","7.5%","±3.7","208","±78","11.3%","±4.3","116","±85","7.4%","±5.4","190","±108","10.0%","±5.6","205","±142","11.1%","±7.6","755","±257","17.5%","±5.6","160","±120","16.2%","±11.8","184","±108","11.9%","±6.5","62","±67","4.2%","±4.7","795","±234","17.2%","±5.0","256","±141","16.3%","±8.1"
"        25.0 to 29.9 percent","451","±161","11.4%","±3.9","138","±72","11.6%","±5.8","205","±88","12.0%","±5.3","85","±65","8.1%","±6.6","477","±208","14.5%","±5.7","449","±131","9.4%","±2.6","335","±175","10.9%","±5.7","295","±94","16.0%","±4.7","241","±151","15.4%","±8.8","304","±140","16.0%","±6.9","216","±178","11.7%","±8.8","328","±147","7.6%","±3.2","46","±36","4.7%","±3.8","231","±118","14.9%","±7.6","285","±157","19.5%","±9.7","391","±115","8.5%","±2.4","124","±61","7.9%","±4.2"
"        30.0 to 34.9 percent","237","±100","6.0%","±2.5","100","±78","8.4%","±6.3","121","±79","7.1%","±4.5","125","±114","11.9%","±10.4","257","±119","7.8%","±3.6","417","±151","8.8%","±3.0","331","±217","10.7%","±6.9","196","±93","10.6%","±5.2","185","±103","11.8%","±6.5","138","±75","7.3%","±4.0","265","±130","14.3%","±7.0","557","±197","12.9%","±4.6","59","±49","6.0%","±5.0","102","±72","6.6%","±4.3","156","±120","10.7%","±7.9","449","±141","9.7%","±3.1","293","±159","18.7%","±9.4"
"        35.0 percent or more","1,929","±317","48.7%","±5.6","508","±149","42.8%","±11.4","672","±198","39.5%","±9.9","412","±239","39.3%","±21.2","1,384","±296","42.2%","±7.4","2,319","±378","48.7%","±5.7","1,497","±349","48.6%","±9.0","642","±164","34.8%","±7.6","583","±147","37.2%","±8.8","540","±163","28.4%","±8.3","788","±215","42.5%","±9.9","1,470","±300","34.1%","±6.0","520","±218","52.7%","±13.9","751","±216","48.4%","±10.7","616","±171","42.1%","±10.4","1,883","±384","40.7%","±7.1","736","±207","46.9%","±10.5"
"        Not computed","474","±265","(X)","(X)","51","±41","(X)","(X)","149","±113","(X)","(X)","128","±133","(X)","(X)","145","±100","(X)","(X)","174","±85","(X)","(X)","149","±88","(X)","(X)","28","±25","(X)","(X)","198","±105","(X)","(X)","101","±75","(X)","(X)","83","±77","(X)","(X)","231","±133","(X)","(X)","14","±23","(X)","(X)","20","±35","(X)","(X)","43","±56","(X)","(X)","265","±124","(X)","(X)","69","±64","(X)","(X)"
